Ride,Date-Time,Wait Time
Pirates of the Caribbean,2020-01-02 15:30,70
Pirates of the Caribbean,2020-01-02 15:35,70
Pirates of the Caribbean,2020-01-02 15:40,70
Pirates of the Caribbean,2020-01-02 15:45,70
Pirates of the Caribbean,2020-01-02 15:50,80
Pirates of the Caribbean,2020-01-02 15:55,80
Pirates of the Caribbean,2020-01-02 16:00,80
Pirates of the Caribbean,2020-01-02 16:05,80
Pirates of the Caribbean,2020-01-02 16:10,85
Pirates of the Caribbean,2020-01-02 16:15,85
Pirates of the Caribbean,2020-01-02 16:20,85
Pirates of the Caribbean,2020-01-02 16:25,85
Pirates of the Caribbean,2020-01-02 16:30,75
Pirates of the Caribbean,2020-01-02 16:35,70
Pirates of the Caribbean,2020-01-02 16:40,75
Pirates of the Caribbean,2020-01-02 16:45,75
Pirates of the Caribbean,2020-01-02 16:50,75
Pirates of the Caribbean,2020-01-02 16:55,75
Pirates of the Caribbean,2020-01-02 17:00,85
Pirates of the Caribbean,2020-01-02 17:05,85
Pirates of the Caribbean,2020-01-02 17:10,95
Pirates of the Caribbean,2020-01-02 17:15,95
Pirates of the Caribbean,2020-01-02 17:20,90
Pirates of the Caribbean,2020-01-02 17:25,70
Pirates of the Caribbean,2020-01-02 17:30,70
Pirates of the Caribbean,2020-01-02 17:35,70
Pirates of the Caribbean,2020-01-02 17:40,70
Pirates of the Caribbean,2020-01-02 17:45,60
Pirates of the Caribbean,2020-01-02 17:50,60
Pirates of the Caribbean,2020-01-02 17:55,60
